race,sex,sl,yc,h_cm,hw_k,es,y
A,F,Y,N,165.3,338.6,85.3,1
W,M,N,Y,195.8,140.2,88.3,1
W,M,N,Y,175.0,245.7,85.7,1
W,M,N,Y,175.5,225.0,81.2,0
B,M,N,Y,185.1,56.1,81.1,0
A,M,Y,Y,194.7,310.4,86.5,1
W,M,N,Y,196.2,125.4,89.7,1
B,M,N,Y,191.2,56.6,82.5,0
W,F,N,N,156.3,142.4,84.1,0
W,M,N,Y,189.1,189.2,81.3,0
W,F,N,N,161.9,202.1,89.7,1
A,F,Y,N,154.9,325.9,82.7,0
A,F,Y,N,152.3,313.6,82.6,0
W,M,N,Y,194.3,264.7,84.1,0
W,F,N,N,158.6,259.2,84.6,0
A,F,Y,N,157.3,344.1,81.0,0
W,M,N,Y,187.6,139.8,88.2,1
B,F,N,N,152.6,57.2,81.8,0
B,F,N,N,165.2,118.4,82.8,0
A,M,Y,Y,178.1,335.6,84.7,0
W,F,N,N,151.3,145.0,89.9,1
B,F,N,N,159.8,78.0,86.0,1
A,F,Y,N,162.4,278.2,81.3,0
W,M,N,Y,190.7,229.4,85.2,1
A,F,Y,N,157.8,299.9,81.4,0
W,F,N,N,162.3,200.1,86.9,1
A,F,Y,N,153.1,338.8,81.9,0
A,F,Y,N,167.5,343.2,87.4,1
B,M,N,Y,194.7,56.0,89.3,1
A,M,Y,Y,187.8,287.4,85.1,1
B,F,N,N,167.3,92.3,86.5,1
B,M,N,Y,192.2,87.5,89.8,1
A,F,Y,N,150.8,342.5,86.4,1
B,F,N,N,152.5,65.2,85.4,1
A,M,Y,Y,190.7,298.6,89.2,1
W,F,N,N,159.8,190.5,80.7,0
B,F,N,N,166.6,70.9,81.4,0
A,F,Y,N,152.4,344.9,83.6,0
W,M,N,Y,199.1,236.6,86.8,1
W,M,N,Y,179.9,213.5,80.5,0
A,F,Y,N,162.0,334.2,87.8,1
B,F,N,N,158.3,64.8,87.7,1
B,M,N,Y,188.4,120.2,88.1,1
W,M,N,Y,183.5,193.9,83.1,0
B,M,N,Y,182.3,94.9,82.4,0
B,F,N,N,152.2,93.8,87.5,1
B,M,N,Y,197.6,83.5,87.7,1
A,F,Y,N,150.7,330.4,82.5,0
A,F,Y,N,155.3,309.4,89.4,1
B,M,N,Y,183.5,116.1,82.6,0
W,M,N,Y,179.9,169.1,85.9,1
W,F,N,N,156.6,232.1,81.4,0
W,F,N,N,151.4,229.7,84.0,0
W,M,N,Y,185.3,217.3,82.8,0
B,F,N,N,160.6,104.4,82.0,0
A,F,Y,N,152.9,333.6,88.3,1
W,F,N,N,156.9,141.5,85.8,1
A,F,Y,N,152.1,329.4,84.6,0
B,M,N,Y,178.2,102.1,85.9,1
A,F,Y,N,150.8,284.1,80.7,0
W,F,N,N,156.9,134.4,80.3,0
W,M,N,Y,188.0,191.5,84.9,0
W,F,N,N,165.3,155.6,87.9,1
W,M,N,Y,196.9,190.0,85.1,1
A,M,Y,Y,189.0,330.0,81.7,0
B,M,N,Y,175.8,92.4,86.7,1
B,M,N,Y,186.5,100.4,87.4,1
A,F,Y,N,164.4,330.1,85.3,1
W,M,N,Y,199.9,174.7,85.0,1
W,M,N,Y,189.2,232.4,88.6,1
W,F,N,N,158.5,169.8,87.8,1
A,M,Y,Y,197.9,284.9,88.6,1
A,F,Y,N,165.1,313.8,84.1,0
W,M,N,Y,187.0,236.7,87.1,1
W,M,N,Y,183.1,196.8,83.5,0
B,F,N,N,157.5,53.4,80.8,0
W,M,N,Y,182.5,144.1,80.5,0
A,M,Y,Y,185.7,340.6,81.7,0
A,F,Y,N,151.5,291.5,83.7,0
W,F,N,N,155.4,166.6,89.5,1
W,F,N,N,155.7,181.7,87.0,1
B,F,N,N,166.4,51.3,88.6,1
B,M,N,Y,183.5,68.2,80.5,0
A,F,Y,N,159.5,320.7,80.3,0
A,F,Y,N,167.2,326.3,86.2,1
W,M,N,Y,199.1,264.3,85.1,1
A,M,Y,Y,183.3,288.2,86.7,1
B,F,N,N,162.8,108.0,83.3,0
B,F,N,N,157.8,76.1,85.9,1
W,M,N,Y,178.0,247.5,84.6,0
W,M,N,Y,187.6,253.2,87.0,1
A,F,Y,N,161.7,309.0,88.3,1
B,M,N,Y,191.9,83.9,88.5,1
B,M,N,Y,170.7,98.8,81.0,0
W,F,N,N,154.7,211.5,89.1,1
W,F,N,N,156.8,209.5,84.2,0
W,F,N,N,165.8,151.6,82.3,0
A,M,Y,Y,187.4,275.6,82.5,0
B,F,N,N,155.0,122.0,81.3,0
B,F,N,N,163.5,121.5,80.1,0
W,M,N,Y,168.9,139.7,86.5,1
B,M,N,Y,176.9,64.3,88.1,1
W,F,N,N,155.6,163.7,85.6,1
W,F,N,N,163.6,150.2,84.0,0
B,M,N,Y,189.6,89.2,87.2,1
W,M,N,Y,175.4,211.5,86.2,1
B,F,N,N,160.5,68.5,87.3,1
W,M,N,Y,174.3,260.9,80.7,0
W,M,N,Y,192.4,224.7,83.4,0
B,M,N,Y,194.6,123.1,89.1,1
B,F,N,N,166.9,79.3,85.5,1
W,F,N,N,152.5,247.5,80.5,0
W,M,N,Y,188.5,139.4,81.4,0
B,F,N,N,154.1,88.3,87.0,1
A,F,Y,N,153.0,324.0,87.0,1
W,M,N,Y,197.5,223.3,88.1,1
B,F,N,N,152.7,91.9,85.4,1
A,M,Y,Y,182.2,310.0,89.7,1
A,F,Y,N,159.0,320.4,87.5,1
A,M,Y,Y,175.9,343.5,81.4,0
W,M,N,Y,195.8,169.9,82.6,0
A,M,Y,Y,176.2,321.9,81.8,0
W,F,N,N,164.2,241.7,87.3,1
A,F,Y,N,152.6,301.9,84.4,0
B,F,N,N,158.3,57.6,81.3,0
A,F,Y,N,166.0,298.4,89.2,1
A,F,Y,N,164.2,289.5,81.6,0
A,F,Y,N,153.2,294.1,89.2,1
W,M,N,Y,191.9,197.8,88.1,1
W,F,N,N,158.2,262.2,87.7,1
B,M,N,Y,186.5,123.9,82.3,0
W,F,N,N,158.3,271.6,89.9,1
A,M,Y,Y,197.5,326.9,85.4,1
A,M,Y,Y,187.8,281.8,80.5,0
W,M,N,Y,173.9,199.8,85.0,1
A,F,Y,N,159.3,344.0,86.5,1
W,F,N,N,150.3,223.8,87.3,1
W,M,N,Y,177.4,205.8,84.0,0
W,F,N,N,153.1,209.6,80.6,0
A,F,Y,N,166.2,281.7,88.2,1
A,M,Y,Y,180.3,303.5,87.7,1
B,M,N,Y,172.1,114.5,85.9,1
B,F,N,N,161.6,106.8,80.1,0
A,F,Y,N,165.7,297.8,81.4,0
W,M,N,Y,182.2,226.2,89.2,1
B,F,N,N,163.4,108.1,87.5,1
B,M,N,Y,178.3,112.9,86.8,1
A,F,Y,N,161.9,282.5,89.1,1
A,M,Y,Y,175.0,318.6,83.3,0
A,M,Y,Y,196.8,311.4,84.4,0
A,F,Y,N,151.1,301.1,88.7,1
B,M,N,Y,196.1,89.9,83.8,0
A,F,Y,N,161.7,335.5,88.8,1
W,F,N,N,160.3,232.5,82.1,0
W,F,N,N,166.3,273.8,84.6,0
W,M,N,Y,175.3,221.1,86.8,1
B,M,N,Y,191.0,108.6,89.4,1
W,F,N,N,161.2,193.1,88.7,1
W,M,N,Y,193.9,205.7,84.1,0
W,F,N,N,156.8,204.6,89.6,1
A,M,Y,Y,179.8,302.2,81.8,0
A,F,Y,N,151.7,349.1,81.1,0
A,M,Y,Y,190.6,336.6,83.6,0
B,F,N,N,157.6,102.6,85.3,1
B,F,N,N,160.7,61.6,83.3,0
A,F,Y,N,151.0,321.7,80.2,0
W,M,N,Y,188.7,229.5,90.0,1
A,F,Y,N,166.7,282.6,81.4,0
W,F,N,N,165.3,182.6,81.2,0
W,F,N,N,155.2,220.8,88.4,1
A,F,Y,N,154.2,308.3,87.0,1
B,M,N,Y,182.9,96.5,84.5,0
A,M,Y,Y,189.9,310.0,83.6,0
W,F,N,N,157.2,148.9,85.3,1
B,F,N,N,150.5,124.5,85.5,1
W,F,N,N,162.9,171.2,89.7,1
B,M,N,Y,175.5,66.3,88.5,1
W,M,N,Y,170.3,228.9,89.2,1
A,F,Y,N,160.2,276.2,83.2,0
A,F,Y,N,164.0,294.1,86.6,1
B,M,N,Y,193.7,60.6,85.1,1
B,M,N,Y,187.2,93.9,82.2,0
B,F,N,N,157.7,64.3,80.1,0
A,F,Y,N,151.5,334.2,83.5,0
W,M,N,Y,197.1,262.2,86.6,1
B,F,N,N,163.5,99.9,89.8,1
A,M,Y,Y,181.2,298.0,86.3,1
A,F,Y,N,163.8,311.1,89.9,1
W,F,N,N,166.2,213.4,80.2,0
B,M,N,Y,180.8,115.4,82.6,0
W,M,N,Y,190.5,173.1,84.6,0
B,M,N,Y,174.9,109.7,85.4,1
A,F,Y,N,162.3,290.4,88.7,1
W,F,N,N,153.2,263.7,80.3,0
W,F,N,N,150.8,234.3,82.7,0
A,F,Y,N,150.7,319.3,87.7,1
W,M,N,Y,169.4,172.9,87.2,1
W,M,N,Y,196.2,147.4,89.5,1
W,F,N,N,154.8,142.3,80.3,0
B,F,N,N,153.2,68.9,83.9,0
B,F,N,N,161.0,123.4,82.9,0
W,F,N,N,156.6,255.3,89.9,1
B,F,N,N,167.9,80.9,80.3,0
W,F,N,N,153.2,156.4,88.7,1
W,F,N,N,164.4,137.8,82.3,0
B,F,N,N,167.3,92.7,84.4,0
W,F,N,N,157.4,175.8,83.8,0
B,M,N,Y,190.8,105.9,80.1,0
B,M,N,Y,186.2,121.3,87.3,1
W,M,N,Y,196.1,247.7,86.3,1
B,M,N,Y,176.4,77.3,83.1,0
A,F,Y,N,160.1,279.3,88.8,1
W,F,N,N,163.8,156.5,82.8,0
B,F,N,N,159.7,112.8,87.5,1
B,F,N,N,161.8,109.4,83.9,0
A,F,Y,N,152.0,308.7,81.5,0
W,M,N,Y,186.3,245.2,89.3,1
B,F,N,N,166.0,103.3,80.9,0
B,M,N,Y,191.2,87.8,80.9,0
B,M,N,Y,187.7,74.7,86.3,1
B,F,N,N,154.2,56.3,81.0,0
A,M,Y,Y,172.4,302.8,85.6,1
W,M,N,Y,174.9,262.5,83.9,0
A,M,Y,Y,197.6,307.7,80.6,0
B,M,N,Y,179.0,114.1,81.9,0
W,F,N,N,163.1,241.4,85.4,1
W,F,N,N,165.7,173.4,89.9,1
W,M,N,Y,194.7,140.1,84.7,0
W,F,N,N,153.5,142.7,83.4,0
W,F,N,N,167.7,186.1,87.9,1
B,M,N,Y,198.4,82.1,87.4,1
W,F,N,N,159.0,202.9,80.4,0
B,M,N,Y,182.8,108.6,86.1,1
W,M,N,Y,183.2,180.1,82.9,0
W,M,N,Y,192.8,246.5,88.1,1
A,F,Y,N,154.4,283.3,80.0,0
W,F,N,N,167.1,134.0,85.2,1
A,F,Y,N,159.0,307.3,85.6,1
W,M,N,Y,180.1,175.4,85.5,1
B,F,N,N,152.9,119.9,89.0,1
W,M,N,Y,181.8,270.8,82.7,0
A,M,Y,Y,173.3,296.9,84.4,0
B,M,N,Y,188.4,103.0,85.7,1
A,M,Y,Y,199.8,303.1,80.3,0
B,M,N,Y,179.9,76.4,88.2,1
B,M,N,Y,181.7,109.1,83.5,0
B,F,N,N,161.4,93.1,83.7,0
B,F,N,N,151.0,85.6,85.2,1
W,M,N,Y,171.3,233.2,88.8,1
A,F,Y,N,160.1,282.3,80.8,0
A,F,Y,N,159.6,337.3,87.0,1
B,F,N,N,150.8,65.6,86.8,1
W,F,N,N,158.4,221.6,83.6,0
B,F,N,N,164.7,57.4,89.2,1
B,F,N,N,161.7,105.7,87.9,1
B,M,N,Y,169.6,104.0,86.1,1
A,M,Y,Y,169.5,300.1,87.3,1
W,M,N,Y,182.1,216.4,89.5,1
B,M,N,Y,195.5,88.1,87.1,1
W,M,N,Y,182.7,239.2,83.4,0
B,F,N,N,152.2,106.9,80.3,0
W,F,N,N,155.6,241.5,88.8,1
A,F,Y,N,164.5,331.9,82.2,0
B,M,N,Y,168.8,60.2,89.1,1
A,F,Y,N,154.4,298.1,85.8,1
B,M,N,Y,181.0,64.0,81.2,0
A,F,Y,N,165.7,280.2,87.4,1
W,M,N,Y,191.5,158.9,82.8,0
B,M,N,Y,199.1,71.8,83.9,0
W,M,N,Y,178.6,235.4,85.1,1
A,M,Y,Y,170.0,346.2,89.3,1
B,F,N,N,162.7,122.2,83.6,0
B,M,N,Y,176.8,120.9,84.2,0
W,F,N,N,165.3,160.7,88.1,1
B,F,N,N,162.3,117.0,80.6,0
W,F,N,N,156.2,228.3,85.7,1
W,F,N,N,155.8,157.0,83.5,0
B,M,N,Y,177.6,95.0,85.0,1
B,F,N,N,167.8,119.5,83.4,0
W,M,N,Y,188.6,266.0,88.3,1
B,F,N,N,153.1,62.6,80.3,0
W,M,N,Y,189.8,125.7,89.7,1
B,F,N,N,167.8,50.6,89.5,1
W,F,N,N,151.5,273.1,89.9,1
W,F,N,N,166.5,131.6,86.7,1
W,M,N,Y,175.1,268.2,89.6,1
W,F,N,N,162.9,152.9,86.3,1
W,M,N,Y,180.6,187.7,86.5,1
A,M,Y,Y,195.2,309.1,86.6,1
A,F,Y,N,155.6,319.1,89.0,1
B,M,N,Y,189.7,101.2,83.6,0
W,M,N,Y,189.6,197.3,80.1,0
W,F,N,N,150.8,146.8,84.7,0
W,F,N,N,159.6,267.1,82.7,0
B,F,N,N,156.3,91.2,86.6,1
B,F,N,N,162.1,124.7,81.4,0
W,M,N,Y,188.7,271.5,83.4,0
W,M,N,Y,178.0,255.6,80.2,0
W,M,N,Y,190.1,231.5,82.2,0
W,F,N,N,154.2,175.3,84.5,0
A,M,Y,Y,183.8,341.4,84.8,0
A,F,Y,N,166.6,338.0,88.5,1
A,F,Y,N,165.7,295.7,84.5,0
B,M,N,Y,190.8,77.9,87.0,1
A,F,Y,N,151.7,332.9,89.5,1
A,M,Y,Y,175.9,286.9,85.5,1
A,F,Y,N,154.8,287.5,80.4,0
B,M,N,Y,175.3,105.7,81.7,0
A,M,Y,Y,178.1,308.9,80.6,0
B,M,N,Y,170.0,82.5,81.4,0
W,F,N,N,157.0,272.8,81.2,0
A,F,Y,N,157.4,279.7,89.6,1
A,M,Y,Y,189.3,295.2,86.1,1
A,F,Y,N,153.7,326.4,80.8,0
B,M,N,Y,182.4,121.2,87.7,1
B,F,N,N,164.8,109.6,80.2,0
W,F,N,N,152.8,256.7,85.6,1
A,F,Y,N,162.9,287.6,80.2,0
B,F,N,N,157.1,113.0,86.6,1
A,F,Y,N,162.8,312.8,88.3,1
A,M,Y,Y,181.5,276.1,88.3,1
B,M,N,Y,175.1,62.0,81.9,0
A,F,Y,N,159.8,288.8,80.6,0
W,M,N,Y,179.7,255.0,86.9,1
W,F,N,N,159.9,176.7,80.5,0
W,F,N,N,157.0,235.5,88.6,1
W,M,N,Y,172.2,228.9,83.2,0
W,M,N,Y,183.9,193.0,85.3,1
A,F,Y,N,164.5,326.7,81.1,0
A,F,Y,N,160.0,290.1,83.2,0
A,F,Y,N,167.2,305.2,88.4,1
B,F,N,N,151.8,51.2,84.0,0
W,M,N,Y,183.1,251.0,84.4,0
A,M,Y,Y,195.4,315.8,80.1,0
B,F,N,N,153.7,86.5,84.1,0
B,M,N,Y,179.2,72.8,89.0,1
A,F,Y,N,160.5,310.2,80.9,0
A,F,Y,N,157.0,316.7,82.9,0
W,F,N,N,159.1,217.9,81.9,0
A,M,Y,Y,178.2,307.7,89.6,1
A,M,Y,Y,197.5,332.6,82.0,0
B,F,N,N,165.5,69.3,85.0,1
B,F,N,N,163.4,67.7,80.6,0
A,M,Y,Y,176.6,340.7,86.8,1
W,M,N,Y,186.2,149.5,85.7,1
B,M,N,Y,180.9,100.9,80.4,0
W,M,N,Y,199.9,233.1,82.7,0
B,F,N,N,162.2,70.5,88.5,1
A,F,Y,N,157.1,329.6,83.3,0
A,M,Y,Y,180.7,318.3,82.0,0
W,F,N,N,160.8,212.8,88.5,1
W,F,N,N,160.2,261.6,85.5,1
A,M,Y,Y,195.8,323.7,82.3,0
W,F,N,N,164.9,196.1,88.8,1
B,M,N,Y,194.1,91.4,89.6,1
A,M,Y,Y,195.9,314.4,86.7,1
B,F,N,N,151.7,53.9,85.5,1
A,F,Y,N,160.1,319.1,89.4,1
W,M,N,Y,199.1,129.4,81.8,0
W,F,N,N,167.7,158.2,83.5,0
A,M,Y,Y,180.3,276.6,88.3,1
W,M,N,Y,186.0,153.5,81.1,0
W,M,N,Y,195.7,145.6,83.7,0
B,F,N,N,153.9,123.5,89.3,1
A,F,Y,N,155.4,347.2,88.0,1
A,M,Y,Y,177.3,301.4,89.8,1
W,F,N,N,164.8,127.1,80.5,0
A,F,Y,N,156.7,321.0,87.2,1
W,F,N,N,165.8,213.7,87.2,1
W,F,N,N,158.4,255.1,85.7,1
B,M,N,Y,198.0,113.6,84.0,0
B,M,N,Y,192.0,124.2,84.1,0
W,F,N,N,151.1,140.6,85.0,1
A,M,Y,Y,178.5,342.2,80.5,0
A,F,Y,N,150.5,292.2,87.5,1
B,F,N,N,166.2,53.6,88.1,1
A,M,Y,Y,187.6,328.0,81.8,0
B,F,N,N,162.7,58.7,89.1,1
B,F,N,N,166.4,91.8,80.3,0
W,M,N,Y,177.8,182.7,83.3,0
W,F,N,N,166.0,186.7,84.2,0
A,M,Y,Y,193.7,327.7,86.0,1
A,M,Y,Y,192.0,327.7,82.4,0
A,F,Y,N,154.3,336.5,84.9,0
A,F,Y,N,150.9,347.4,89.3,1
A,F,Y,N,164.1,280.1,87.9,1
B,F,N,N,167.6,57.5,85.1,1
B,F,N,N,154.8,123.6,86.5,1
W,M,N,Y,175.7,233.1,82.1,0
A,M,Y,Y,184.4,290.5,86.7,1
A,F,Y,N,152.0,320.3,83.3,0
B,M,N,Y,186.6,98.2,82.1,0
B,F,N,N,150.1,84.7,80.8,0
W,F,N,N,156.9,243.3,86.9,1
B,M,N,Y,173.9,84.6,84.5,0
B,F,N,N,160.5,100.4,88.8,1
B,M,N,Y,194.3,114.0,84.8,0
B,M,N,Y,181.9,70.1,87.5,1
W,F,N,N,158.3,126.6,89.3,1
A,M,Y,Y,178.8,330.5,82.1,0
W,M,N,Y,177.9,235.6,82.1,0
A,M,Y,Y,174.3,297.5,88.3,1
B,M,N,Y,183.2,109.4,86.4,1
B,F,N,N,157.3,61.4,89.7,1
A,M,Y,Y,182.6,308.2,88.6,1
W,F,N,N,155.0,183.9,80.3,0
B,M,N,Y,194.7,92.2,83.8,0
W,M,N,Y,185.9,257.4,86.1,1
W,M,N,Y,184.6,178.7,87.3,1
W,M,N,Y,176.5,140.8,88.0,1
B,M,N,Y,174.4,114.0,86.7,1
B,M,N,Y,197.7,111.4,80.6,0
B,M,N,Y,175.7,92.8,84.8,0
B,F,N,N,164.9,86.6,86.3,1
A,F,Y,N,153.3,308.0,81.2,0
B,M,N,Y,189.2,79.1,84.5,0
A,M,Y,Y,197.7,303.1,82.4,0
B,F,N,N,159.2,123.3,84.3,0
A,F,Y,N,155.5,323.9,80.4,0
B,F,N,N,158.9,99.7,88.4,1
A,M,Y,Y,173.0,317.4,89.1,1
A,F,Y,N,167.8,281.5,87.7,1
B,M,N,Y,183.6,80.9,86.3,1
B,M,N,Y,187.3,107.2,83.3,0
B,F,N,N,150.0,101.8,88.3,1
A,M,Y,Y,195.6,292.2,88.0,1
B,M,N,Y,185.8,107.8,84.9,0
W,F,N,N,161.8,250.2,80.4,0
W,M,N,Y,181.8,255.1,87.2,1
B,M,N,Y,199.9,122.9,80.3,0
W,M,N,Y,183.2,220.8,81.6,0
W,F,N,N,159.9,151.2,86.5,1
A,M,Y,Y,184.4,295.5,88.3,1
B,F,N,N,152.8,95.7,81.6,0
W,F,N,N,165.5,159.3,86.7,1
B,F,N,N,166.3,95.9,85.1,1
B,M,N,Y,195.9,73.2,81.1,0
A,F,Y,N,160.9,315.6,83.3,0
B,M,N,Y,194.1,102.8,85.7,1
W,F,N,N,167.0,148.5,81.7,0
B,M,N,Y,183.9,72.1,83.2,0
A,M,Y,Y,180.0,316.6,82.5,0
A,F,Y,N,152.1,308.8,81.2,0
B,M,N,Y,195.7,75.2,89.8,1
B,F,N,N,150.2,92.6,88.7,1
W,F,N,N,164.2,131.3,83.0,0
W,F,N,N,153.9,185.6,86.5,1
B,F,N,N,164.8,73.9,87.5,1
W,M,N,Y,193.4,268.0,82.9,0
A,M,Y,Y,190.6,332.4,80.4,0
B,M,N,Y,173.0,123.4,86.5,1
B,F,N,N,153.0,59.6,85.8,1
W,M,N,Y,179.4,252.1,85.0,1
B,M,N,Y,176.2,117.4,86.8,1
B,F,N,N,160.8,61.6,87.3,1
A,F,Y,N,158.2,306.9,83.9,0
A,M,Y,Y,186.5,311.5,85.9,1
W,M,N,Y,193.2,234.0,88.3,1
B,M,N,Y,188.7,124.9,84.3,0
B,F,N,N,167.0,102.5,82.6,0
A,F,Y,N,161.9,328.8,88.3,1
W,M,N,Y,184.0,182.4,80.5,0
B,M,N,Y,193.6,64.7,88.3,1
W,F,N,N,153.9,160.3,87.5,1
A,F,Y,N,154.2,286.1,83.7,0
B,M,N,Y,178.9,106.7,80.6,0
W,F,N,N,156.7,228.8,89.1,1
W,F,N,N,163.9,268.1,83.6,0
B,M,N,Y,175.8,83.5,86.8,1
B,M,N,Y,198.9,63.6,80.3,0
B,M,N,Y,193.9,82.0,80.0,0
A,M,Y,Y,197.6,323.5,86.3,1
W,M,N,Y,187.7,140.7,89.1,1
B,M,N,Y,178.3,54.8,88.7,1
B,F,N,N,162.9,81.3,80.9,0
W,M,N,Y,175.3,169.0,82.3,0
B,M,N,Y,194.4,117.6,83.6,0
A,M,Y,Y,182.4,327.1,89.0,1
B,F,N,N,158.7,66.1,88.8,1
B,F,N,N,158.4,101.6,81.4,0
A,M,Y,Y,193.3,323.5,80.7,0
W,F,N,N,166.2,133.5,86.3,1
W,F,N,N,162.0,232.0,83.9,0
W,F,N,N,153.3,176.7,89.6,1
W,F,N,N,154.5,188.9,84.4,0
B,M,N,Y,171.3,79.2,86.3,1
W,F,N,N,156.5,206.1,80.7,0
W,F,N,N,160.6,153.1,89.5,1
B,F,N,N,159.4,106.5,80.1,0
W,M,N,Y,175.6,145.0,87.4,1
B,M,N,Y,175.1,110.2,80.4,0
W,F,N,N,165.1,139.1,83.2,0
A,M,Y,Y,188.6,341.5,84.5,0
A,F,Y,N,153.3,277.2,81.8,0
A,M,Y,Y,181.2,275.4,86.9,1
B,M,N,Y,180.4,117.7,87.9,1
W,F,N,N,162.9,213.5,88.7,1
A,M,Y,Y,183.0,280.5,86.9,1
B,M,N,Y,178.8,51.6,82.7,0
A,F,Y,N,154.2,320.0,84.7,0
W,F,N,N,151.3,257.2,85.9,1
B,F,N,N,150.1,101.1,81.9,0
B,M,N,Y,174.4,56.8,80.9,0
A,F,Y,N,161.5,316.0,89.6,1
A,F,Y,N,160.0,320.5,82.0,0
B,F,N,N,163.3,62.8,80.8,0
A,M,Y,Y,179.9,291.7,87.7,1
A,F,Y,N,167.4,275.3,87.9,1
B,F,N,N,160.8,83.8,89.8,1
W,M,N,Y,175.9,179.6,84.7,0
W,M,N,Y,192.3,158.4,84.4,0
W,F,N,N,158.5,128.5,83.1,0
A,M,Y,Y,190.1,283.6,80.0,0
B,M,N,Y,173.1,66.7,84.4,0
B,M,N,Y,195.9,77.7,88.1,1
B,M,N,Y,193.6,109.9,81.1,0
B,M,N,Y,199.0,54.8,86.4,1
B,M,N,Y,190.2,103.3,88.2,1
B,F,N,N,167.3,120.6,87.4,1
W,F,N,N,167.5,198.9,88.9,1
A,F,Y,N,167.9,338.8,89.6,1
B,M,N,Y,180.5,100.9,86.2,1
W,F,N,N,167.3,221.2,89.0,1
A,F,Y,N,156.8,297.2,86.6,1
A,M,Y,Y,169.0,297.4,86.7,1
A,M,Y,Y,188.0,309.8,85.9,1
B,M,N,Y,168.4,57.2,85.4,1
B,F,N,N,150.1,75.5,86.5,1
A,M,Y,Y,195.8,283.6,82.2,0
W,M,N,Y,183.9,241.5,82.1,0
B,M,N,Y,190.4,61.9,88.8,1
A,F,Y,N,158.9,349.1,81.5,0
A,F,Y,N,165.7,284.3,84.2,0
W,M,N,Y,181.9,170.8,86.3,1
A,M,Y,Y,196.1,276.2,81.2,0
W,M,N,Y,186.1,198.8,88.9,1
B,F,N,N,164.3,84.1,88.5,1
B,M,N,Y,179.2,60.8,88.3,1
A,F,Y,N,166.9,334.9,88.4,1
A,F,Y,N,164.1,297.1,86.9,1
W,M,N,Y,175.0,154.4,80.4,0
A,F,Y,N,151.6,286.8,80.7,0
W,F,N,N,152.7,168.9,80.4,0
W,F,N,N,166.3,225.2,89.8,1
B,F,N,N,150.3,89.3,86.7,1
W,M,N,Y,193.6,227.9,88.5,1
W,F,N,N,165.4,251.5,89.9,1
W,M,N,Y,188.9,217.0,88.4,1
A,M,Y,Y,185.4,275.5,80.7,0
B,F,N,N,155.9,53.4,89.5,1
B,F,N,N,167.9,56.8,84.9,0
A,F,Y,N,160.9,318.7,89.1,1
W,M,N,Y,170.7,138.7,86.4,1
W,F,N,N,152.7,260.2,81.2,0
W,M,N,Y,197.1,183.9,87.6,1
B,F,N,N,154.3,63.7,82.5,0
A,M,Y,Y,186.6,324.6,89.8,1
A,F,Y,N,167.1,331.5,85.6,1
A,M,Y,Y,173.9,339.2,89.0,1
W,M,N,Y,183.8,227.0,82.9,0
B,F,N,N,167.9,115.3,84.0,0
W,M,N,Y,182.5,259.8,87.3,1
W,F,N,N,160.3,178.3,85.4,1
A,F,Y,N,150.6,290.3,86.3,1
B,F,N,N,160.6,70.5,88.3,1
B,M,N,Y,188.3,118.6,80.3,0
W,F,N,N,155.7,191.8,81.6,0
B,M,N,Y,179.1,56.4,87.0,1
W,F,N,N,165.7,171.7,82.6,0
A,F,Y,N,158.6,347.8,80.5,0
B,F,N,N,165.6,117.8,81.1,0
A,M,Y,Y,175.0,310.4,89.1,1
W,F,N,N,156.8,192.5,80.8,0
B,M,N,Y,199.6,110.3,81.0,0
A,M,Y,Y,179.9,338.4,89.5,1
A,M,Y,Y,169.0,287.2,81.8,0
A,M,Y,Y,195.3,338.9,88.6,1
W,M,N,Y,189.6,169.2,82.3,0
B,M,N,Y,197.8,123.1,86.2,1
A,F,Y,N,165.2,308.3,81.3,0
A,F,Y,N,163.2,308.5,87.2,1
A,F,Y,N,162.5,320.3,81.9,0
A,F,Y,N,165.5,343.6,83.6,0
B,M,N,Y,184.0,61.4,86.4,1
W,F,N,N,164.9,265.0,84.4,0
A,F,Y,N,160.1,282.3,82.0,0
W,M,N,Y,175.0,252.7,83.0,0
A,M,Y,Y,184.3,327.5,84.8,0
A,F,Y,N,155.7,283.6,80.9,0
B,F,N,N,168.2,116.9,82.8,0
W,M,N,Y,179.1,246.6,82.0,0
W,M,N,Y,192.9,247.6,89.9,1
B,M,N,Y,182.4,84.5,82.5,0
B,F,N,N,155.6,120.6,85.4,1
W,M,N,Y,179.2,263.6,85.5,1
A,M,Y,Y,193.7,325.9,81.8,0
W,F,N,N,154.2,222.9,80.5,0
B,M,N,Y,175.3,97.8,83.5,0
A,F,Y,N,164.3,282.2,86.7,1
A,M,Y,Y,185.8,276.0,82.5,0
B,F,N,N,166.0,114.9,84.9,0
B,M,N,Y,188.1,54.3,81.6,0
A,M,Y,Y,187.2,286.5,87.3,1
A,M,Y,Y,176.1,297.1,84.1,0
W,M,N,Y,171.0,145.8,86.8,1
A,F,Y,N,164.1,321.1,87.4,1
A,F,Y,N,164.6,345.3,86.6,1
W,F,N,N,159.6,268.6,88.6,1
W,F,N,N,161.7,219.1,83.9,0
A,F,Y,N,153.8,296.0,80.8,0
W,M,N,Y,178.8,148.3,81.0,0
W,M,N,Y,171.2,182.4,80.2,0
W,F,N,N,153.1,137.5,88.6,1
